0,015425;0,015425;0,015425;0,015425;0,015425;0,015425;0,015425;0,015425;0,015425;0,015425;0
0,014262;0,014262;0,014262;0,014262;0,014262;0,014262;0,014262;0,014262;0,014262;0,014262;1
0,016156;0,016156;0,016156;0,016156;0,016156;0,016156;0,016156;0,016156;0,016156;0,016156;2
0,017166;0,017166;0,017166;0,017166;0,017166;0,017166;0,017166;0,017166;0,017166;0,017166;3
0,014823;0,014823;0,014823;0,014823;0,014823;0,014823;0,014823;0,014823;0,014823;0,014823;4
0,014424;0,014424;0,014424;0,014424;0,014424;0,014424;0,014424;0,014424;0,014424;0,014424;5
0,016887;0,016887;0,016887;0,016887;0,016887;0,016887;0,016887;0,016887;0,016887;0,016887;6
0,013380;0,013380;0,013380;0,013380;0,013380;0,013380;0,013380;0,013380;0,013380;0,013380;7
0,013763;0,013763;0,013763;0,013763;0,013763;0,013763;0,013763;0,013763;0,013763;0,013763;8
0,014701;0,014701;0,014701;0,014701;0,014701;0,014701;0,014701;0,014701;0,014701;0,014701;9
0,000198;0,000198;0,000198;0,000198;0,000198;0,000198;0,000198;0,000198;0,000198;0,000198;Bias
