0,008172;0,006639;0,020940;0,207865;0,146578;0,038815;0,024004;0,015322;0,020940;0,027068;0,051583;0,133299;0,154239;0,092441;0,040347;0,011747;349
0,113778;0,144793;0,038724;0,011506;0,011390;0,048712;0,077741;0,054611;0,051749;0,152152;0,130600;0,016296;0,009462;0,010105;0,017230;0,076514;1090
0,042849;0,050091;0,095655;0,048280;0,028968;0,092034;0,107725;0,016596;0,035607;0,086904;0,055220;0,030779;0,040736;0,054919;0,144237;0,055220;
0,011140;0,008169;0,118827;0,060156;0,072781;0,132937;0,008912;0,005941;0,034163;0,049016;0,076123;0,086149;0,132566;0,072039;0,064612;0,063127;
0,048378;0,050695;0,064600;0,075029;0,074160;0,083430;0,040267;0,041715;0,044902;0,061993;0,093859;0,051854;0,038528;0,076188;0,088065;0,052723;
0,061098;0,082027;0,083776;0,058162;0,056038;0,039858;0,067158;0,056288;0,053851;0,070469;0,088274;0,059724;0,048854;0,024427;0,067908;0,063597;56
0,036837;0,093441;0,076370;0,055705;0,059299;0,072776;0,091644;0,029650;0,009883;0,056604;0,102426;0,063792;0,061995;0,079066;0,090746;0,019766;56
0,048378;0,050695;0,064600;0,075029;0,074160;0,083430;0,040267;0,041715;0,044902;0,061993;0,093859;0,051854;0,038528;0,076188;0,088065;0,052723;
0,069689;0,073887;0,065491;0,053736;0,056255;0,091520;0,052897;0,041982;0,044500;0,049538;0,082284;0,070529;0,055416;0,068850;0,077246;0,041982;
0,051699;0,067208;0,050222;0,013294;0,015263;0,125062;0,137863;0,054653;0,005908;0,024618;0,066470;0,044067;0,045544;0,060807;0,154357;0,068193;56
0,046485;0,078269;0,074327;0,062993;0,069152;0,056587;0,087385;0,059297;0,048784;0,065046;0,056258;0,045828;0,043693;0,058311;0,084593;0,047799;56
0,086976;0,077345;0,072603;0,034968;0,069936;0,067862;0,042673;0,047859;0,050971;0,062528;0,116314;0,075122;0,025782;0,027411;0,056453;0,060898;
0,000000;0,000000;0,000000;0,000000;0,011526;0,301521;0,096819;0,031351;0,024435;0,017059;0,013831;0,016598;0,030890;0,241586;0,207469;0,006916;
0,220436;0,014004;0,007780;0,003112;0,005705;0,009855;0,109959;0,162344;0,142116;0,099585;0,044606;0,003112;0,003631;0,003631;0,007261;0,042531;
0,053824;0,049941;0,049617;0,054936;0,104977;0,072723;0,052620;0,049416;0,049987;0,048412;0,050767;0,059359;0,084650;0,089128;0,060579;0,051825;
0,035773;0,045402;0,109940;0,040770;0,036322;0,105003;0,052593;0,029801;0,080992;0,076665;0,028582;0,052593;0,103967;0,035042;0,038515;0,107624;
0,086922;0,103820;0,045333;0,014510;0,019659;0,034216;0,100379;0,085892;0,078918;0,094622;0,055584;0,029840;0,008215;0,035504;0,085752;0,092492;56
0,011911;0,022051;0,128440;0,097376;0,076614;0,150008;0,008691;0,004346;0,004507;0,027684;0,063415;0,089973;0,234508;0,056494;0,013842;0,008691;56
0,019502;0,017485;0,030935;0,114997;0,217216;0,049092;0,019502;0,010760;0,010760;0,011432;0,022192;0,115669;0,201076;0,073974;0,057162;0,026227;905
0,000000;0,010350;0,073032;0,113618;0,103152;0,076986;0,060356;0,052564;0,050936;0,056286;0,068496;0,091057;0,113850;0,096174;0,033143;0,000000;
0,057063;0,058934;0,106642;0,069224;0,127222;0,060804;0,015903;0,008419;0,017774;0,057998;0,111319;0,144060;0,055192;0,035547;0,025257;0,042095;6
0,071429;0,090774;0,094866;0,030878;0,049479;0,050595;0,079985;0,050223;0,041295;0,069196;0,074033;0,023438;0,045015;0,065476;0,075149;0,071057;56
0,040816;0,043440;0,089213;0,055102;0,032653;0,091545;0,107580;0,020117;0,038776;0,087755;0,047522;0,029155;0,050729;0,069096;0,133528;0,050146;56
