0,050339;0,057115;0,067764;0,064860;0,065828;0,076476;0,060987;0,051307;0,051307;0,054211;0,066796;0,066796;0,061955;0,075508;0,065828;0,050339;0
0,017956;0,012431;0,102210;0,200276;0,133978;0,052486;0,001381;0,000000;0,001381;0,000000;0,030387;0,087017;0,265193;0,062155;0,020718;0,012431;1
0,021898;0,010949;0,058394;0,099757;0,127737;0,203163;0,000000;0,000000;0,000000;0,000000;0,036496;0,082725;0,102190;0,130170;0,083942;0,038929;2
0,024561;0,066667;0,121637;0,094737;0,079532;0,081871;0,010526;0,025731;0,050292;0,014035;0,056140;0,081871;0,105263;0,136842;0,050292;0,000000;3
0,030269;0,073991;0,098655;0,123318;0,036996;0,047085;0,080717;0,059417;0,033632;0,028027;0,033632;0,053812;0,104260;0,119955;0,043722;0,028027;4
0,072941;0,083529;0,095294;0,082353;0,077647;0,063529;0,000000;0,000000;0,052941;0,070588;0,102353;0,104706;0,091765;0,063529;0,010588;0,022353;5
0,061803;0,068896;0,068896;0,062817;0,064843;0,070922;0,055724;0,042553;0,051672;0,066869;0,070922;0,085106;0,081054;0,070922;0,023303;0,039514;6
0,033382;0,023222;0,039187;0,081277;0,278665;0,000000;0,000000;0,000000;0,000000;0,007257;0,107402;0,079826;0,071118;0,094340;0,127721;0,050798;7
0,036837;0,093441;0,076370;0,055705;0,059299;0,072776;0,091644;0,029650;0,009883;0,056604;0,102426;0,063792;0,061995;0,079066;0,090746;0,019766;8
0,064128;0,066132;0,076152;0,081162;0,086172;0,067134;0,027054;0,043086;0,052104;0,062124;0,069138;0,058116;0,060120;0,069138;0,059118;0,047094;9
0,049554;0,115956;0,105055;0,022795;0,023786;0,078295;0,125867;0,044599;0,028741;0,028741;0,039643;0,080278;0,111001;0,064420;0,039643;0,032706;A
0,069689;0,073887;0,065491;0,053736;0,056255;0,091520;0,052897;0,041982;0,044500;0,049538;0,082284;0,070529;0,055416;0,068850;0,077246;0,041982;B
0,000000;0,021924;0,093788;0,098660;0,096224;0,082826;0,062119;0,048721;0,043849;0,052375;0,069428;0,085262;0,092570;0,096224;0,056029;0,000000;C
0,061511;0,063269;0,061511;0,059754;0,059754;0,096661;0,060633;0,040422;0,039543;0,050088;0,090510;0,060633;0,055360;0,059754;0,064148;0,057996;D
0,055620;0,003476;0,070684;0,081112;0,134415;0,093859;0,040556;0,023175;0,025492;0,033604;0,063731;0,140209;0,075319;0,092700;0,013905;0,034762;E
0,045455;0,073864;0,034091;0,021307;0,242898;0,080966;0,032670;0,017045;0,019886;0,026989;0,052557;0,140625;0,073864;0,089489;0,048295;0,000000;F
0,089454;0,074388;0,082863;0,067797;0,061205;0,068738;0,056497;0,050847;0,051789;0,052731;0,063089;0,065913;0,064972;0,071563;0,025424;0,031073;G
0,091985;0,078324;0,106557;0,000911;0,003643;0,072860;0,079235;0,073770;0,081056;0,070128;0,093807;0,001821;0,002732;0,051002;0,094718;0,078324;H
0,016588;0,009479;0,033175;0,234597;0,208531;0,009479;0,007109;0,000000;0,004739;0,002370;0,007109;0,056872;0,334123;0,049763;0,016588;0,009479;I
0,023593;0,016334;0,052632;0,159710;0,194192;0,078040;0,001815;0,000000;0,001815;0,000000;0,001815;0,014519;0,330309;0,081670;0,027223;0,016334;J
0,007463;0,019190;0,217484;0,021322;0,038380;0,115139;0,051173;0,033049;0,034115;0,045842;0,085288;0,094883;0,025586;0,168443;0,040512;0,002132;K
0,000000;0,025641;0,136752;0,100855;0,160684;0,076923;0,032479;0,015385;0,020513;0,025641;0,049573;0,263248;0,092308;0,000000;0,000000;0,000000;L
